display_name,exch_tick,status
Broadcom,NASDAQ:AVGO,listed
Check Point,NASDAQ:CHKP,listed
Cognyte,NASDAQ:CGNT,listed
F-Secure,HLSE:FSECURE,listed
F5,NASDAQ:FFIV,listed
Fortinet,NASDAQ:FTNT,listed
Gen Digital,NASDAQ:GEN,listed
Mitek,NASDAQ:MITK,listed
Okta,NASDAQ:OKTA,listed
OneSpan,NASDAQ:OSPN,listed
OpenText,NASDAQ:OTEX,listed
Palo Alto Networks,NASDAQ:PANW,listed
Qualys,NASDAQ:QLYS,listed
Rapid7,NASDAQ:RPD,listed
Riskified,NYSE:RSKD,listed
Secureworks,NASDAQ:SCWX,delisted 2/2025 (acquired by Sophos)
SolarWinds,NYSE:SWI,delisted 4/2025 (acquired by Turn/River)
Telos,NASDAQ:TLS,listed
Tenable,NASDAQ:TENB,listed
Trend Micro,TSE:4704,listed
WithSecure,HLSE:WITH,taken private 11/2025 (unverified)
